Search Term,Event count,Total users,Event count per active user,Total revenue
Nüsslisalat,44,23,1.9130434782608700,0
peperoni gelb,44,24,1.8333333333333300,0
Petersilie,43,26,1.6538461538461500,0
curry,43,22,1.9545454545454500,0
gratin,43,19,2.263157894736840,0
kartoffel würfel,43,23,1.8695652173913000,0
lachs,43,26,1.6538461538461500,0
melonen,43,22,1.9545454545454500,0
oliven,43,25,1.72,0
orangensaft,43,36,1.1944444444444400,0
reis,43,28,1.5357142857142900,0
spaghetti,43,26,1.6538461538461500,0
wiberg,43,17,2.5294117647058800,0
blattspinat,42,32,1.3125,0
boiron,42,31,1.3548387096774200,0
dobla,42,8,5.25,0
erdbeeren,42,16,2.625,0
golden,42,27,1.5555555555555600,0
jogurt,42,14,3,0
mangold,42,20,2.1,0
Minze,41,29,1.4137931034482800,0
Vollei,41,33,1.2424242424242400,0
Vollmilch,41,23,1.7826086956521700,0
frühlingsrollen,41,24,1.7083333333333300,0
gorgonzola,41,30,1.3666666666666700,0
kohlraben,41,28,1.4642857142857100,0
liscio,41,22,1.8636363636363600,0
ruebli,41,20,2.05,0
42281,40,14,3.076923076923080,0
Eier,40,23,1.7391304347826100,0
Zwiebel,40,17,2.3529411764705900,0
cherrytomaten,40,30,1.3333333333333300,0
kartoffeln geschält,40,23,1.7391304347826100,0
kokos,40,22,1.8181818181818200,0
mini,40,19,2.1052631578947400,0
napf,40,11,3.6363636363636400,0
pastinake,40,27,1.4814814814814800,0
sakura,40,28,1.4285714285714300,0
salate,40,10,4,0
zuchetti,40,32,1.25,0
antipasti,39,16,2.4375,0
mundo,39,21,1.8571428571428600,0
pilz,39,22,1.7727272727272700,0
randen ,39,11,3.5454545454545500,0
salz,39,29,1.3448275862069000,0
brombeeren,38,16,2.375,0
flammkuchen,38,23,1.6521739130434800,0
marroni,38,24,1.5833333333333300,0
mayo,38,32,1.1875,0
salatmix,38,18,2.111111111111110,0
sandwich,38,11,3.4545454545454500,0
sluups,38,12,3.1666666666666700,0
Raclette,37,16,2.3125,0
cantadou,37,31,1.1935483870967700,0
eierschwämme,37,22,1.6818181818181800,0
gruyere,37,20,1.85,0
oregano,37,29,1.2758620689655200,0
salanova,37,24,1.5416666666666700,0
schwarzwurzeln,37,24,1.5416666666666700,0
wok,37,16,2.3125,0
öl,37,18,2.0555555555555600,0
Ingwer,36,23,1.565217391304350,0
Quark,36,18,2,0
Spinat,36,24,1.5,0
kichererbsen,36,23,1.565217391304350,0
schwarzwurzel,36,25,1.44,0
zuckerhut,36,18,2,0
36742,35,12,2.9166666666666700,0
Eisbergsalat,35,22,1.5909090909090900,0
Pommes,35,22,1.5909090909090900,0
Rahm,35,17,2.0588235294117600,0
Rösti,35,24,1.4583333333333300,0
Thymian,35,29,1.206896551724140,0
gipfeli,35,22,1.5909090909090900,0
karotte,35,15,2.3333333333333300,0
kartoffeln ,35,18,1.9444444444444400,0
knollensellerie,35,26,1.3461538461538500,0
majoran,35,26,1.3461538461538500,0
mundschutz,35,16,2.1875,0
passionsfrucht,35,24,1.4583333333333300,0
rande,35,20,1.75,0
waldbeeren,35,25,1.4,0
Cherry,34,25,1.36,0
Clementinen,34,19,1.7894736842105300,0
Käse,34,14,2.4285714285714300,0
frisee,34,23,1.4782608695652200,0
kartoffelsalat,34,27,1.2592592592592600,0
papaya,34,22,1.5454545454545500,0
rüebli gross,34,25,1.36,0
schokolade,34,17,2,0
torte,34,9,3.7777777777777800,0
zuchini,34,27,1.2592592592592600,0
75860,33,5,6.6,0
Eisberg,33,22,1.5,0
aufschnitt,33,15,2.2,0
blutorangen,33,22,1.5,0
butternuss,33,23,1.434782608695650,0
chicken nuggets,33,16,2.0625,0
falafel,33,18,1.8333333333333300,0
mungobohnen,33,13,2.5384615384615400,0
pouletbrust,33,14,2.357142857142860,0
Kartoffel,32,16,2,0
carotten,32,16,2,0
ceposa,32,18,1.7777777777777800,0
fleur,32,8,4,0
grana,32,22,1.4545454545454500,0
grana padano,32,26,1.2307692307692300,0
hafermilch,32,18,1.7777777777777800,0
himbeer,32,18,1.7777777777777800,0
hokkaido,32,24,1.3333333333333300,0
joghurt nature,32,27,1.1851851851851900,0
kadi,32,14,2.2857142857142900,0
koppert,32,8,4,0
milchdrink,32,13,2.4615384615384600,0
radisli,32,21,1.5238095238095200,0
rote zwiebeln,32,26,1.2307692307692300,0
rotkabis,32,29,1.103448275862070,0
topinambur,32,21,1.5238095238095200,0
zwiebeln ,32,10,3.2,0
Bohnen,31,21,1.4761904761904800,0
Kabis,31,21,1.4761904761904800,0
bresc,31,17,1.8235294117647100,0
caotina,31,26,1.1923076923076900,0
creme,31,16,1.9375,0
mayonnaise,31,25,1.24,0
mehl,31,23,1.3478260869565200,0
milch uht,31,21,1.4761904761904800,0
patate,31,6,5.166666666666670,0
pesto,31,19,1.631578947368420,0
rama,31,16,1.9375,0
randensalat,31,18,1.7222222222222200,0
rüebli geschält,31,16,1.9375,0
Mischsalat,30,14,2.142857142857140,0
apfelsaft,30,19,1.5789473684210500,0
baguette,30,12,2.5,0
johannisbeeren,30,15,2,0
jumbo,30,21,1.4285714285714300,0
tagliatelle,30,18,1.6666666666666700,0
torten,30,10,3,0
weisskabis,30,25,1.2,0
Emmi,29,7,4.142857142857140,0
Kaki,29,17,1.7058823529411800,0
Pastinaken,29,26,1.1153846153846200,0
Reibkäse,29,17,1.7058823529411800,0
Roller,29,23,1.2608695652173900,0
banan,29,9,3.2222222222222200,0
castell,29,1,29,0
früchte,29,16,1.8125,0
grapefruit,29,24,1.2083333333333300,0
quorn,29,17,1.7058823529411800,0
strauchtomaten,29,22,1.3181818181818200,0
47154,28,12,2.3333333333333300,0
baby,28,17,1.6470588235294100,0
basil,28,13,2.1538461538461500,0
karotten geschält,28,21,1.3333333333333300,0
pasta,28,13,2.1538461538461500,0
peperoni tricolore,28,18,1.5555555555555600,0
tomaten ,28,12,2.3333333333333300,0
zucc,28,11,2.5454545454545500,0
Brot,27,13,2.076923076923080,0
Feigen,27,16,1.6875,0
Hydroliq,27,1,27,0
Kaffeerahm,27,17,1.588235294117650,0
cheddar,27,14,1.9285714285714300,0
chicoree,27,21,1.2857142857142900,0
fremde,27,12,2.25,0
frühlingszwiebeln,27,20,1.35,0
kabis weiss,27,21,1.2857142857142900,0
kaffee,27,17,1.588235294117650,0
kokosmilch,27,20,1.35,0
latte,27,17,1.588235294117650,0
limette,27,17,1.588235294117650,0
pommes frites,27,20,1.35,0
randen gekocht,27,22,1.2272727272727300,0
tee,27,13,2.076923076923080,0
trauben ,27,17,1.588235294117650,0
wurzelgemüse,27,10,2.7,0
zitronengras,27,23,1.173913043478260,0
Champignon,26,12,2.1666666666666700,0
Mascarpone,26,19,1.368421052631580,0
Mozzarella,26,17,1.5294117647058800,0
appenzeller,26,19,1.368421052631580,0
eichblatt,26,16,1.625,0
emmentaler,26,17,1.5294117647058800,0
geisskäse,26,17,1.5294117647058800,0
hummus,26,17,1.5294117647058800,0
lätta,26,20,1.3,0
munz,26,11,2.3636363636363600,0
senf,26,22,1.1818181818181800,0
shiso,26,16,1.625,0
zwiebel rot,26,16,1.625,0
Pilze,25,17,1.4705882352941200,0
Ruebli,25,3,8.333333333333330,0
Speck,25,18,1.3888888888888900,0
Stangensellerie,25,12,2.0833333333333300,0
affilla,25,16,1.5625,0
bouillon,25,11,2.272727272727270,0
brötli,25,18,1.3888888888888900,0
hero,25,13,1.9230769230769200,0
karotten julienne,25,16,1.5625,0
käsekuchen,25,14,1.7857142857142900,0
lasagne,25,16,1.5625,0
lollo rot,25,20,1.25,0
meerrettich,25,18,1.3888888888888900,0
olivenöl,25,17,1.4705882352941200,0
pastetli,25,13,1.9230769230769200,0
peperoni würfel,25,19,1.3157894736842100,0
sauce,25,6,4.166666666666670,0
steinpilz,25,12,2.0833333333333300,0
älpler,25,13,1.9230769230769200,0
Kresse,24,8,3,0
Rosenkohl,24,15,1.6,0
Rucola,24,13,1.8461538461538500,0
boskoop,24,18,1.3333333333333300,0
glace,24,10,2.4,0
knusperli,24,10,2.4,0
maroni,24,17,1.411764705882350,0
mozarella,24,14,1.7142857142857100,0
peperoni ,24,15,1.6,0
qimiq,24,19,1.263157894736840,0
risotto,24,16,1.5,0
salami,24,20,1.2,0
tricolore,24,13,1.8461538461538500,0
wedges,24,16,1.5,0
wienerli,24,18,1.3333333333333300,0
zwiebeln geschält,24,16,1.5,0
Aubergine,23,19,1.2105263157894700,0
Dill,23,18,1.2777777777777800,0
Himbeeren,23,16,1.4375,0
Nüssler,23,16,1.4375,0
Nüssli,23,14,1.6428571428571400,0
Romanesco,23,20,1.15,0
apfel gala,23,17,1.3529411764705900,0
bircher,23,11,2.090909090909090,0
capuns,23,10,2.3,0
crevetten,23,10,2.3,0
eschalotten,23,12,1.9166666666666700,0
gipfel,23,15,1.5333333333333300,0
handschuhe,23,9,2.5555555555555600,0
hartkäse,23,7,3.2857142857142900,0
honig,23,19,1.2105263157894700,0
randen roh,23,18,1.2777777777777800,0
ruccola,23,18,1.2777777777777800,0
schupfnudeln,23,15,1.5333333333333300,0
weggli,23,15,1.5333333333333300,0
weichkäse,23,11,2.090909090909090,0
zwiebeln gross,23,15,1.5333333333333300,0
Gnocchi,22,9,2.4444444444444400,0
Koriander,22,15,1.4666666666666700,0
Mango,22,14,1.5714285714285700,0
Peperoni rot,22,15,1.4666666666666700,0
artischocken,22,13,1.6923076923076900,0
becel,22,20,1.1,0
bun,22,11,2,0
champ,22,16,1.375,0
ei,22,16,1.375,0
erdnüsse,22,17,1.2941176470588200,0
floralp,22,13,1.6923076923076900,0
frühlingszwiebel,22,14,1.5714285714285700,0
gemüse tk,22,12,1.8333333333333300,0
guetzli,22,12,1.8333333333333300,0
joghurt natur,22,18,1.2222222222222200,0
